A,B,C,D,E,F,G
7,14,16,30,45,88,4
24,66,68,77,78,88,65
1,11,20,28,32,87,13
12,16,44,47,57,78,38
3,22,23,57,84,85,19
3,11,31,44,53,59,25
3,6,41,47,55,76,67
20,36,38,49,76,89,40
10,44,55,58,74,89,9
35,48,51,56,80,84,40
16,17,28,29,38,79,20
6,20,28,53,62,77,26
35,37,38,64,69,81,33
26,39,43,69,80,81,77
14,30,45,70,73,77,35
22,33,36,50,61,89,45
1,14,32,60,61,66,53
38,47,62,68,73,74,2
12,33,44,66,78,80,15
10,18,24,48,68,89,64
4,31,38,44,79,83,6
2,19,24,45,81,90,74
17,24,29,32,74,86,71
25,30,41,50,56,85,22
15,21,38,65,69,70,3
2,25,33,35,39,64,85
5,16,24,25,62,88,10
15,29,30,46,56,89,83
5,16,27,40,51,63,26
29,30,40,71,77,90,61
17,30,37,58,85,87,74
36,46,47,50,83,85,68
14,17,20,44,50,59,68
18,23,36,38,45,48,41
31,43,52,69,81,87,47
26,27,39,63,82,85,70
5,7,50,70,84,90,21
5,35,42,60,67,76,15
22,25,41,54,67,87,32
28,36,49,53,59,60,65
10,19,46,59,71,79,86
24,28,36,45,69,75,42
9,29,39,40,60,78,87
5,20,28,32,56,74,84
5,14,17,42,57,71,25
4,44,55,63,71,73,29
11,12,16,39,44,58,63
6,11,15,26,35,53,64
9,10,30,76,78,89,25
16,23,32,58,72,78,71
9,10,31,49,58,60,12
12,19,24,37,65,87,72
7,17,24,25,65,75,46
9,31,50,56,57,84,6
13,17,27,38,55,59,78
9,25,26,42,58,83,52
15,18,39,41,46,56,60
36,43,61,62,83,87,73
8,30,36,56,66,75,59
8,23,64,70,77,83,69
15,28,36,50,51,62,9
15,38,54,74,81,83,49
23,26,33,36,84,86,51
20,40,54,58,62,64,37
37,47,53,55,74,90,70
24,42,54,62,70,83,17
19,23,30,45,78,79,73
26,32,34,41,71,88,78
9,20,29,38,44,66,12
13,32,44,53,67,87,4
16,44,49,54,70,82,89
22,29,52,61,62,86,40
6,18,33,58,59,84,29
1,31,55,61,83,85,5
4,22,40,46,61,81,76
10,35,41,51,80,88,68
13,17,44,47,63,80,42
41,51,55,60,70,83,17
25,48,49,55,62,75,63
1,11,15,28,38,74,46
16,18,29,32,54,87,55
7,16,23,40,44,53,83
16,38,50,53,71,85,61
4,28,42,50,58,73,89
20,22,28,40,46,75,32
10,17,24,38,46,47,41
3,30,33,35,73,74,83
1,12,35,57,63,87,38
2,17,33,44,76,84,31
1,2,50,63,69,74,23
35,40,57,64,68,72,20
7,28,34,36,40,86,29
30,35,44,78,82,85,41
2,7,12,18,30,75,55
4,16,29,42,46,90,3
14,39,50,75,77,85,44
16,31,38,42,52,77,83
6,10,50,56,62,67,90
1,20,66,77,89,90,83
3,28,51,72,79,84,40
7,21,44,58,89,90,32
1,9,38,48,62,86,5
6,13,18,36,39,58,7
2,20,48,62,63,74,77
5,25,41,59,66,70,57
9,21,37,39,53,57,25
9,31,38,44,60,79,56
6,11,44,68,69,85,22
3,8,30,43,45,86,81
1,22,66,74,84,88,83
3,27,40,49,66,88,74
8,23,34,58,76,89,45
9,17,48,49,50,75,35
4,46,52,58,62,80,67
10,35,36,39,53,86,37
10,34,53,62,64,74,77
12,30,35,54,68,79,16
4,24,32,58,66,89,7
21,48,59,64,75,77,67
7,26,28,39,47,78,55
7,18,50,67,80,89,82
11,30,46,49,52,75,86
7,11,20,47,74,77,64
5,25,55,64,67,76,23
18,22,27,32,70,78,13
6,11,19,26,48,62,82
6,43,45,78,79,80,42
3,11,17,51,65,78,89
14,19,27,35,51,89,80
32,41,46,56,64,69,29
5,6,69,71,74,86,33
2,28,38,45,51,81,11
18,24,58,75,78,86,6
9,20,34,36,42,55,84
9,13,50,55,72,86,14
1,20,50,52,57,63,22
4,12,19,21,46,51,41
21,48,52,75,76,79,29
21,30,35,74,82,86,33
8,18,51,65,69,77,23
9,11,13,29,69,87,48
11,37,38,53,59,64,28
2,11,22,60,65,90,48
5,23,27,28,40,82,6
16,47,56,57,82,85,0
45,59,62,75,76,78,61
16,27,43,53,54,67,33
33,43,47,59,67,70,52
3,6,18,20,56,89,87
55,61,62,74,77,82,84
2,5,10,20,80,87,77
12,14,45,53,66,87,51
19,20,47,58,69,82,72
4,18,27,75,79,85,5
12,21,41,44,83,84,6
26,28,30,36,67,70,18
20,27,35,39,57,63,18
6,42,75,76,80,85,68
10,12,43,46,63,90,66
13,16,49,58,65,80,7
3,14,56,61,79,87,27
10,23,36,46,74,81,53
2,6,25,74,79,88,56
7,53,54,68,75,83,47
2,7,23,64,72,75,24
4,10,16,27,86,89,14
1,2,45,64,65,71,90
15,19,20,26,50,80,81
20,45,53,63,64,83,6
21,34,35,57,59,83,48
11,32,53,61,69,89,90
13,35,36,37,48,59,15
4,60,66,67,86,87,17
9,17,18,55,64,70,21
13,26,33,34,59,79,57
1,6,23,25,54,73,22
3,20,21,47,54,83,64
3,41,46,56,64,86,71
1,17,21,39,54,61,7
15,17,28,37,52,78,12
2,4,8,11,20,87,34
6,22,51,53,57,82,30
38,44,51,57,73,81,53
32,38,44,49,57,73,14
4,10,12,30,71,72,18
15,16,21,23,29,46,88
33,45,47,86,88,89,27
31,37,63,74,78,83,57
8,47,50,57,70,85,76
20,35,45,54,62,85,34
17,55,62,77,85,88,26
11,16,25,45,75,83,26
6,8,12,39,55,87,65
12,40,49,66,84,88,5
1,5,21,56,65,83,42
5,15,51,67,80,88,32
1,4,14,27,33,37,0
29,37,47,55,60,62,71
8,12,17,62,63,66,55
24,26,28,46,51,64,66
9,19,29,37,60,89,54
3,4,5,30,38,72,87
18,31,38,59,66,88,37
29,43,64,72,83,84,62
2,5,20,60,84,86,30
1,13,33,35,42,87,71
9,36,38,39,43,70,85
11,20,36,38,60,81,45
8,9,10,53,55,56,32
2,4,9,20,49,83,38
2,27,37,40,47,50,90
2,17,22,39,64,75,25
8,13,24,57,67,71,59
13,54,59,63,66,69,55
5,24,36,71,73,81,41
15,19,44,46,66,74,80
5,11,23,26,39,78,87
38,39,50,54,73,87,60
9,17,39,46,80,84,69
13,45,50,58,70,80,57
7,9,34,36,55,58,25
33,39,44,71,74,78,63
7,19,27,54,63,83,59
2,15,43,46,67,69,76
11,22,40,41,69,71,82
20,34,44,57,74,77,18
2,4,13,71,72,82,64
42,58,62,70,73,85,26
1,10,14,34,41,82,50
4,18,23,45,59,70,48
3,5,20,56,85,89,17
9,43,53,55,69,74,90
7,20,40,47,56,72,21
22,45,46,60,62,74,5
20,23,31,42,46,64,27
51,54,71,77,78,81,76
5,20,39,61,66,73,74
24,33,34,41,81,85,31
17,24,33,37,40,48,54
23,28,36,56,76,87,51
10,23,36,46,64,76,87
5,19,48,77,80,83,36
6,11,18,56,60,86,43
10,19,54,75,87,89,63
15,24,26,29,59,87,51
33,50,78,79,87,89,35
3,16,31,44,59,87,17
6,15,34,40,53,72,9
10,15,42,53,70,74,59
13,23,41,55,56,59,49
40,42,51,54,70,82,19
30,31,33,37,45,56,51
40,45,57,61,77,79,51
14,17,32,43,53,87,28
7,39,48,49,50,60,71
29,32,38,78,86,88,87
3,25,37,38,72,82,88
21,45,63,69,79,88,49
4,7,31,35,71,90,57
16,39,65,76,77,85,79
20,23,24,25,29,33,40
22,27,32,41,45,61,79
1,2,39,51,61,68,7
8,19,43,52,58,61,18
1,26,39,47,65,78,66
15,26,36,50,68,69,31
12,13,14,36,52,83,15
5,27,40,63,68,79,16
15,24,34,42,60,87,36
5,28,38,41,75,83,11
14,17,18,37,77,79,7
10,19,33,39,67,81,29
8,26,45,49,71,76,44
8,23,40,74,79,81,17
4,9,32,66,82,83,22
1,12,46,50,58,79,15
5,10,42,45,59,64,60
21,57,62,63,78,87,10
5,50,66,68,81,82,30
13,30,36,43,60,75,48
6,9,47,54,68,87,20
6,8,17,30,60,81,13
1,18,23,25,32,37,41
5,16,27,33,74,89,86
34,39,47,67,78,87,22
14,29,51,58,59,65,50
15,18,20,53,61,84,41
6,34,61,67,74,88,73
17,19,21,22,36,66,20
6,23,28,45,77,90,60
36,43,50,74,87,88,49
2,6,11,33,71,83,84
14,33,45,48,68,79,24
3,25,30,73,82,87,2
2,18,25,31,52,75,40
20,21,49,56,66,80,47
27,38,61,67,72,77,47
36,38,63,72,82,83,6
11,29,31,34,43,65,46
8,39,47,55,76,89,34
4,28,38,61,75,76,26
12,29,31,76,85,90,74
5,24,36,40,64,68,56
7,18,30,33,63,86,81
29,30,37,41,75,86,68
6,14,17,37,73,74,68
5,33,55,79,83,85,89
42,59,60,62,67,82,40
4,13,18,36,37,49,45
47,54,74,79,85,88,78
16,22,26,31,66,76,57
35,37,46,50,62,66,10
7,38,42,43,56,65,45
15,17,25,36,61,74,46
13,15,24,58,62,66,50
1,23,57,76,79,82,38
22,27,35,47,52,61,41
30,44,49,56,66,76,18
2,28,29,31,81,83,56
2,14,36,54,55,63,45
8,12,46,52,53,84,29
7,9,11,17,34,54,5
19,36,45,54,57,77,13
28,38,49,77,81,89,34
20,24,30,32,40,71,11
13,19,25,66,80,82,7
10,11,29,54,86,87,27
14,37,41,64,72,85,80
1,2,44,60,78,79,38
26,51,53,79,87,90,38
4,9,36,58,67,70,57
39,44,48,55,61,66,36
7,10,19,29,56,90,24
15,24,28,38,50,87,42
2,6,15,28,62,71,86
1,9,11,32,77,81,12
5,9,28,48,57,61,8
1,8,16,56,64,86,41
32,53,59,62,71,89,90
1,27,51,52,54,70,68
15,26,36,60,64,72,78
16,44,74,76,81,87,56
3,42,57,70,78,81,54
17,30,32,34,78,80,69
19,25,29,45,62,82,1
7,9,16,32,40,62,47
7,26,27,50,51,80,9
16,17,19,48,79,84,59
5,12,44,52,87,89,80
15,32,42,55,64,70,38
21,27,37,43,44,76,48
16,17,37,48,58,82,87
29,56,63,64,65,77,40
17,19,30,32,38,42,35
15,16,17,19,33,89,82
14,35,40,42,75,90,55
7,13,15,17,44,52,70
28,38,55,58,71,77,57
2,22,34,74,75,85,17
25,26,38,40,45,62,75
4,13,19,43,50,65,62
47,59,70,74,81,90,36
4,18,20,43,68,84,66
8,21,55,56,59,65,1
24,38,45,58,68,88,39
1,3,13,17,53,85,34
15,37,47,53,67,71,57
30,54,62,75,85,88,31
48,63,66,71,72,73,69
12,17,32,39,45,89,74
1,2,8,40,42,74,20
7,13,36,78,79,86,17
12,14,17,23,49,67,63
2,16,39,40,71,75,31
32,37,41,51,67,73,48
17,31,32,71,76,77,16
3,7,40,46,62,80,78
24,33,38,39,61,83,70
7,28,39,61,64,81,58
4,11,20,24,65,84,26
28,43,46,55,59,78,8
3,11,12,47,53,69,25
29,45,57,67,76,77,27
7,39,41,59,62,71,22
23,44,63,67,74,84,76
11,25,40,49,80,81,79
40,48,54,58,63,70,66
15,49,52,59,70,77,43
2,56,57,68,70,86,41
12,18,50,72,73,83,84
8,38,51,61,68,75,86
14,28,29,55,59,64,76
2,13,28,31,55,60,5
3,10,26,29,40,57,81
3,15,26,32,52,76,35
8,10,25,48,75,89,29
14,25,33,43,48,82,65
9,28,32,41,44,73,24
35,47,62,66,76,87,88
5,21,27,34,48,53,24
6,27,28,41,62,77,26
9,13,35,50,52,55,58
17,46,55,58,68,73,27
2,10,15,25,40,75,58
7,16,28,43,83,90,55
22,26,35,64,76,90,66
2,11,16,53,54,55,86
3,16,20,35,47,49,53
1,14,18,22,68,89,86
30,31,55,60,80,84,61
42,53,54,56,79,83,18
1,17,19,31,40,63,27
2,21,29,51,56,73,6
15,34,36,74,80,83,1
24,29,54,59,76,80,73
8,30,40,55,75,88,43
24,47,49,57,75,88,19
14,21,36,43,56,74,40
2,30,32,39,51,54,5
22,23,51,68,71,80,37
2,29,32,54,67,73,6
4,17,18,66,67,77,59
6,35,44,56,59,88,17
20,34,44,65,69,81,79
6,29,33,39,71,87,50
2,23,44,56,80,89,53
5,13,24,34,48,64,53
3,19,20,23,64,74,67
1,26,31,52,63,66,40
8,34,47,59,64,79,73
20,44,70,80,85,87,32
2,12,23,27,74,88,14
13,22,29,60,66,88,77
21,35,38,43,77,90,81
20,23,34,56,74,78,41
10,16,45,53,56,74,65
2,22,26,56,87,90,29
11,17,32,44,55,72,19
13,24,29,76,88,90,25
3,19,29,44,58,81,27
29,36,47,49,56,66,83
6,11,41,47,59,68,7
2,19,49,55,67,80,89
16,21,46,50,81,86,10
17,40,44,49,56,83,65
6,20,39,58,76,85,74
1,19,22,30,81,82,23
22,57,63,67,81,90,5
26,33,35,45,47,50,55
18,40,44,47,61,87,45
12,34,42,59,78,86,81
4,9,11,51,54,57,82
4,31,50,59,78,81,19
6,11,26,47,57,61,65
6,10,12,56,61,71,33
21,22,54,66,73,80,3
18,33,37,53,54,62,47
3,6,12,50,83,89,28
17,54,63,76,83,89,80
21,22,35,59,81,88,54
12,38,43,44,58,84,6
1,10,31,34,45,73,52
2,18,19,55,60,69,22
1,2,40,42,72,84,85
28,31,35,53,68,72,58
15,34,45,49,72,89,36
1,4,7,10,25,46,30
14,17,19,23,52,61,69
2,9,39,55,57,67,68
13,37,74,81,86,89,51
46,47,65,69,70,85,55
4,16,33,49,64,83,67
31,32,64,76,87,88,70
10,20,31,32,48,60,42
20,72,76,77,83,90,57
28,45,48,52,60,85,9
4,31,34,55,70,86,89
4,54,60,68,75,88,7
8,15,47,68,71,72,69
3,12,17,48,53,84,31
6,28,45,62,63,69,8
22,31,38,48,54,90,59
27,28,37,44,81,84,75
14,24,37,46,60,64,50
3,19,26,41,53,70,54
10,18,44,53,69,82,50
22,44,52,58,66,89,86
20,31,46,67,80,87,75
2,19,22,35,56,62,76
9,33,50,69,70,84,67
35,36,38,50,80,89,21
12,16,23,31,64,82,58
24,36,39,40,49,63,30
21,34,45,65,72,79,57
18,32,50,68,75,82,16
11,17,29,38,52,81,24
3,17,20,21,87,90,9
2,3,57,68,79,86,21
1,3,13,27,43,74,26
1,12,15,38,55,77,46
31,50,59,60,69,79,7
40,41,46,51,57,86,3
24,50,64,77,85,90,48
1,2,8,21,65,82,80
1,11,18,43,48,85,33
18,19,21,48,67,85,25
18,32,49,56,60,76,25
24,29,56,59,65,76,41
36,53,67,71,76,79,73
6,22,30,33,44,48,63
33,34,35,56,58,60,37
7,8,13,31,32,53,35
13,15,54,69,75,79,59
9,15,45,53,64,79,37
6,11,22,42,66,84,69
1,12,53,69,73,76,74
9,14,31,52,61,73,42
11,16,41,58,72,75,52
29,36,44,56,74,76,38
9,19,24,32,33,71,48
5,37,49,55,59,73,70
2,32,51,62,66,85,28
13,16,20,50,65,79,39
23,24,25,36,46,63,74
4,30,45,52,53,65,77
10,17,33,48,56,62,18
1,47,50,53,60,79,40
20,31,44,48,59,83,77
18,23,46,65,73,85,81
46,53,57,61,73,87,14
25,30,47,54,73,81,29
3,8,64,72,80,81,32
13,31,46,75,78,84,1
19,50,65,66,72,75,87
6,39,70,81,82,84,5
33,58,75,80,89,90,25
12,16,44,50,69,72,14
19,36,52,55,58,83,25
3,8,35,60,71,90,26
4,25,40,51,75,85,12
1,15,16,17,43,83,25
22,38,48,51,62,74,15
12,29,31,38,50,84,74
5,6,16,70,82,85,35
13,21,31,37,72,75,18
24,27,28,45,47,82,12
18,31,42,62,83,85,37
6,9,39,71,79,87,35
5,23,31,40,84,89,65
8,31,54,59,73,87,88
18,56,66,68,71,72,19
6,13,15,16,37,68,42
7,12,68,81,89,90,86
10,13,32,57,72,84,24
1,16,22,23,35,61,70
25,28,33,36,70,78,18
5,13,26,57,71,72,2
5,18,40,45,76,90,24
5,35,49,56,70,82,81
5,24,30,41,72,88,54
6,19,56,62,69,80,37
34,37,39,50,64,82,26
14,15,69,77,78,82,35
8,12,14,63,86,89,70
15,56,64,65,74,84,49
12,41,49,59,67,77,83
3,16,21,77,89,90,87
8,9,37,56,68,70,21
1,2,25,40,78,88,62
4,7,26,48,53,72,38
33,59,60,69,78,82,34
10,18,21,42,87,90,73
39,49,51,59,65,73,9
4,34,45,47,55,71,76
5,8,17,51,59,61,34
5,12,17,43,47,56,13
38,46,56,65,76,78,12
21,25,38,56,73,80,9
2,19,25,38,46,61,70
21,28,44,66,67,84,62
6,18,25,30,48,74,8
13,18,25,29,34,36,12
26,50,55,72,79,87,9
7,9,31,53,58,80,47
14,41,46,49,57,69,84
6,11,29,57,76,88,41
3,39,55,69,74,81,45
6,8,16,47,52,84,85
19,30,39,83,85,90,28
17,21,45,58,59,83,39
15,61,62,80,81,87,50
16,52,53,79,80,85,54
8,24,54,65,69,88,37
34,54,65,74,89,90,13
32,39,48,59,81,90,69
5,6,10,24,33,62,8
17,44,57,58,60,65,42
55,56,64,75,77,78,44
30,38,50,51,53,65,17
4,6,14,27,84,87,53
11,14,21,41,58,64,50
19,29,45,54,62,78,22
10,24,27,29,42,43,86
1,29,41,56,59,76,15
19,53,56,61,71,75,41
7,59,62,63,71,78,20
13,16,32,36,38,61,56
4,46,69,80,86,88,10
39,43,44,53,82,83,65
1,4,9,13,17,81,68
22,61,67,68,81,84,83
20,22,25,44,73,84,24
28,45,49,50,54,88,37
13,14,21,27,54,73,45
6,19,24,65,69,85,88
17,29,44,48,67,68,38
8,9,12,33,38,56,89
25,33,44,45,51,81,7
14,29,37,42,61,64,68
21,26,31,49,52,72,24
2,8,17,26,87,90,72
10,20,34,42,57,73,70
14,35,53,58,70,76,59
6,18,78,80,86,90,9
24,43,51,54,67,72,82
5,9,13,49,61,72,64
10,35,52,64,71,82,36
20,33,63,67,76,87,30
48,53,63,76,78,82,74
1,11,12,13,29,81,28
26,40,50,61,77,86,2
24,32,37,41,49,69,17
13,32,39,46,56,78,21
28,30,36,40,65,87,3
37,41,57,58,85,88,33
2,25,36,72,76,77,34
19,22,39,46,78,79,65
3,5,38,58,64,90,17
2,14,22,47,55,78,76
2,22,27,30,41,59,49
5,26,29,63,66,76,12
4,11,16,35,54,67,8
15,26,41,58,84,85,88
35,38,41,74,79,83,9
10,13,23,40,45,73,55
10,28,40,42,79,83,65
2,4,23,29,32,42,78
3,7,20,28,32,70,87
13,28,39,64,69,79,72
4,16,25,54,62,77,6
3,30,35,59,67,77,45
3,34,43,79,80,89,31
12,22,28,65,73,86,84
11,12,13,48,54,70,26
10,19,24,44,64,78,2
3,38,44,74,80,82,75
27,40,45,53,59,65,68
11,15,37,50,51,65,28
12,27,44,53,63,75,52
41,44,49,50,66,75,51
2,11,45,56,72,80,79
24,58,59,61,77,82,27
2,35,48,49,66,75,50
3,27,35,39,58,68,20
8,14,33,39,73,85,52
8,17,26,29,56,90,80
17,20,30,55,67,82,36
1,2,19,30,58,63,4
9,18,36,37,47,59,68
33,36,42,55,84,85,80
10,11,26,32,47,81,19
3,41,56,58,79,88,82
27,57,66,74,76,85,49
51,55,69,72,76,81,59
19,22,40,42,48,60,85
5,9,27,30,79,80,39
10,24,29,41,46,53,12
2,26,33,42,43,76,45
24,31,32,44,58,79,48
16,25,29,37,38,48,56
14,24,43,57,82,89,80
4,13,25,37,70,85,6
12,14,17,49,80,85,48
9,29,36,47,80,82,68
1,6,12,63,75,83,14
18,19,22,33,58,70,29
14,19,24,57,66,82,50
18,34,35,64,67,90,82
20,41,56,71,83,88,34
22,28,47,51,61,64,36
3,5,22,29,38,42,75
3,5,11,29,44,65,27
25,34,41,42,73,83,20
13,29,32,44,51,61,81
4,56,65,74,75,82,12
8,9,61,67,74,84,82
25,41,52,54,61,75,35
12,25,39,42,57,66,64
12,15,16,21,30,49,5
24,33,40,49,61,79,19
8,16,24,41,70,72,42
22,31,45,60,71,75,81
9,29,49,70,85,88,72
7,25,40,57,63,64,83
4,21,34,44,54,57,3
17,62,66,67,73,75,35
26,39,48,51,59,78,12
32,35,48,59,61,90,7
14,35,41,69,77,84,78
16,42,43,57,68,78,33
1,9,53,64,80,90,63
2,16,40,45,67,75,74
16,17,28,44,68,76,66
31,36,39,40,69,70,5
11,16,52,66,79,83,70
20,22,23,33,34,67,84
4,13,15,28,46,67,47
5,24,25,43,58,66,85
15,29,50,80,84,90,68
13,17,18,43,48,72,64
15,16,46,62,68,81,38
13,17,23,36,38,81,68
7,18,33,50,52,75,4
6,25,41,43,66,73,14
34,63,67,71,74,85,20
4,17,44,45,62,66,61
8,9,50,76,77,86,27
3,8,32,70,72,78,76
10,16,28,65,73,79,40
25,27,39,52,75,76,17
6,19,26,40,68,80,38
13,22,43,61,72,83,89
30,52,61,69,78,88,71
18,30,40,51,60,71,84
6,15,21,38,70,73,3
1,16,21,40,78,85,61
5,15,47,63,76,79,62
9,21,27,41,76,84,19
4,9,12,67,68,75,5
25,26,30,55,62,70,63
13,20,54,68,76,90,78
16,22,41,44,46,75,57
7,23,39,56,64,84,29
5,15,41,58,67,79,29
8,29,61,62,65,69,20
8,17,59,67,85,87,65
14,18,20,35,56,58,15
3,30,42,63,66,85,59
17,19,23,47,67,71,32
5,7,21,59,62,74,66
12,32,59,63,71,82,20
5,53,60,61,79,80,15
2,49,50,56,63,83,69
7,13,55,64,65,74,36
5,6,30,54,55,84,40
10,16,34,60,74,85,1
12,41,51,52,69,76,4
5,13,24,70,77,90,61
23,30,33,56,59,67,35
9,30,38,68,78,88,64
7,20,40,46,48,82,88
6,9,33,43,57,74,41
4,42,54,59,64,70,2
7,14,17,27,40,43,50
12,18,23,41,71,85,16
18,19,52,53,68,86,56
7,16,22,30,62,90,74
10,20,31,64,74,80,84
2,18,33,58,61,71,74
8,10,17,26,84,87,56
19,26,30,38,40,49,59
39,43,51,66,78,83,71
52,53,68,76,81,88,6
7,21,43,62,70,75,6
5,60,65,71,72,78,51
15,25,26,42,48,61,58
1,18,21,38,54,59,63
9,16,18,30,73,79,85
11,32,45,53,63,64,40
8,22,40,44,62,82,35
1,6,21,57,73,84,79
2,20,34,44,74,84,77
11,20,32,59,64,72,79
15,22,29,54,59,85,6
3,6,33,44,54,56,1
5,10,18,48,69,74,42
7,27,35,39,67,74,2
16,22,31,64,81,82,42
25,26,34,64,65,85,45
23,24,32,38,39,81,56
3,10,30,42,67,71,17
3,35,43,58,59,67,60
9,27,60,70,86,89,64
9,25,42,60,61,89,72
9,14,31,32,79,82,65
3,27,59,67,73,74,64
26,34,38,64,69,89,31
7,17,38,52,63,88,78
6,16,27,68,78,84,36
5,28,47,59,62,79,58
3,41,57,60,68,69,39
2,4,6,9,15,64,55
22,26,39,69,78,79,28
5,9,11,35,56,75,4
11,52,55,56,61,67,28
1,18,24,44,47,86,43
29,39,76,81,82,84,14
4,20,26,27,74,89,70
1,2,8,16,55,75,4
4,11,49,51,60,81,16
18,23,35,50,53,73,63
31,60,71,74,81,88,49
13,14,45,53,59,90,33
8,20,73,84,86,89,80
15,20,58,71,87,90,70
28,40,44,70,76,81,32
23,39,51,75,79,83,10
28,33,55,73,85,90,89
7,20,62,68,69,77,28
12,27,30,49,84,87,70
26,32,33,50,75,82,78
28,29,47,67,78,88,39
15,17,32,33,70,81,73
15,17,18,23,29,77,40
19,21,22,23,36,71,48
15,28,34,39,55,84,85
8,15,45,77,81,90,65
7,17,38,41,48,90,74
14,16,17,57,58,71,8
16,17,37,43,68,84,40
4,7,15,22,44,89,2
6,8,29,31,51,77,80
1,11,16,34,84,88,71
7,13,54,70,84,90,55
3,28,32,33,86,90,24
2,35,47,51,72,86,54
5,16,17,20,71,80,73
2,13,17,36,50,83,29
8,35,38,48,61,66,51
1,39,48,49,67,68,2
17,22,38,46,50,84,85
9,14,26,53,83,85,70
6,7,19,26,70,80,64
11,26,35,47,53,60,57
5,43,47,55,71,72,84
2,34,36,60,74,85,29
12,16,17,38,45,75,36
12,57,81,85,86,88,63
8,13,34,54,63,80,72
39,46,54,64,71,79,13
29,37,57,65,86,87,85
4,12,15,41,63,64,86
15,31,35,52,62,67,38
19,46,65,69,86,87,44
31,32,39,58,67,68,24
20,23,30,32,60,82,22
14,19,51,57,82,89,15
14,33,53,63,77,89,73
7,23,52,60,73,89,13
1,28,50,67,76,86,60
15,43,68,73,74,80,84
9,14,31,33,50,58,20
16,29,34,44,50,85,26
25,68,77,79,85,89,78
14,35,68,82,83,89,56
6,15,37,70,71,90,40
3,8,17,20,34,38,86
57,60,63,64,66,72,87
2,6,18,43,48,66,12
3,25,33,40,41,66,36
21,40,43,63,70,77,61
22,29,35,53,74,81,88
4,29,58,59,69,81,46
4,50,60,64,79,90,74
38,54,57,63,65,75,13
4,20,49,57,64,78,77
13,61,71,77,78,84,2
40,43,74,79,89,90,49
12,21,22,36,44,51,3
21,26,31,37,45,74,77
32,33,37,46,54,60,16
32,40,47,66,67,79,45
26,37,38,45,62,75,20
33,45,52,69,83,89,79
5,13,18,26,34,73,61
9,16,21,25,48,62,42
5,32,51,53,65,86,90
5,31,40,42,49,66,80
16,27,29,37,51,87,2
19,38,64,72,82,90,80
17,33,35,36,39,79,84
10,11,20,21,44,49,58
27,39,54,74,75,79,56
3,9,15,51,55,84,82
5,20,22,38,76,81,45
21,50,63,65,74,77,39
1,17,34,52,75,81,82
